,x
38610_s_at,0.776808669
41357_at,0.776768904
35239_at,0.776313878
37250_at,0.776110092
31598_s_at,0.775893292
40118_at,0.775886688
37506_at,0.775761499
39341_at,0.775508674
34432_at,0.775438563
40629_at,0.774947022
39703_at,0.774847764
33422_at,0.773350109
32134_at,0.77309972
32843_s_at,0.772357132
36195_at,0.772100387
32213_at,0.770963161
34157_f_at,0.770915005
38210_at,0.770862981
33542_at,0.770085207
33300_at,0.770020449
34358_at,0.769356415
38252_s_at,0.768098222
37689_s_at,0.766946723
36936_at,0.766164531
36475_at,0.76568654
35995_at,0.765597343
35800_at,0.762515221
33343_at,0.759277123
40823_s_at,0.757746366
32901_s_at,0.757677666
32218_at,0.757559373
288_s_at,0.757493396
1881_at,0.756580278
39782_at,0.756363722
39767_at,0.755598654
36840_at,0.755111543
364_s_at,0.754792846
35253_at,0.75323275
1933_g_at,0.753218865
34295_at,0.752892494
246_at,0.752625215
31930_f_at,0.752583794
37940_f_at,0.752362633
37577_at,0.752290453
1462_s_at,0.751297429
36167_at,0.750770875
639_s_at,0.750374849
37696_at,0.750174243
38262_at,0.749793072
41509_at,0.749578424
39173_at,0.749538291
36895_at,0.748869504
33920_at,0.747726912
35983_at,0.746214763
38384_at,0.744108884
32178_r_at,0.743401493
38680_at,0.743337849
32262_at,0.743250829
34814_at,0.74300735
1843_at,0.742830382
35183_at,0.742798653
41047_at,0.742749903
33460_at,0.742273766
33186_i_at,0.742055887
33347_at,0.741723089
39751_at,0.741387032
1444_at,0.74058979
37281_at,0.740259309
33250_at,0.739214677
35963_at,0.738754202
34577_at,0.738641615
41854_at,0.738239996
40756_at,0.738187971
38475_at,0.737081034
35171_at,0.736454713
38564_at,0.735949754
37992_s_at,0.735290824
32096_at,0.734576661
33447_at,0.734409112
38082_at,0.734175696
35681_r_at,0.734122796
41451_s_at,0.734072959
34310_at,0.733893785
171_at,0.733524781
39811_at,0.733033412
41512_at,0.732041324
40509_at,0.73120202
40139_at,0.730372927
36232_at,0.730176233
32659_at,0.729251127
39074_at,0.728936713
37741_at,0.728910815
36527_at,0.727414452
1053_at,0.726546407
39516_at,0.726514425
1551_g_at,0.726473533
34274_at,0.726354426
40334_at,0.726289049
37521_s_at,0.725764617
37376_at,0.725429308
33278_at,0.725026247
33255_at,0.724629842
41051_at,0.724241845
35934_at,0.72420477
38141_at,0.723388661
33202_f_at,0.723177395
38259_at,0.723175294
41251_at,0.723167878
336_at,0.722667115
33912_at,0.72249305
38036_at,0.721732916
38473_at,0.721621386
35007_at,0.721213554
34001_at,0.720351102
35295_g_at,0.719920354
31853_at,0.719609236
41551_at,0.719306458
36017_at,0.718436006
38346_at,0.718358866
40329_at,0.716882686
39702_at,0.716746099
1830_s_at,0.716416403
37651_at,0.716397742
39955_at,0.71609813
38003_s_at,0.715846167
37010_at,0.715344301
40354_at,0.714954899
38675_at,0.714837089
40348_s_at,0.714655263
35729_at,0.714278304
38060_at,0.7141826
35549_at,0.712822237
1241_at,0.711912973
1160_at,0.711698949
38701_at,0.71085904
41787_at,0.710540834
40176_at,0.710059086
35812_at,0.70971709
38090_at,0.708913105
41800_s_at,0.707671494
38358_at,0.707572068
39001_at,0.707239926
40617_at,0.706429965
35310_at,0.706298256
37367_at,0.705334341
1450_g_at,0.704296943
38990_at,0.704199635
39437_at,0.704004179
1312_at,0.703408494
36107_at,0.702953007
35851_g_at,0.702907905
592_at,0.702726949
35722_at,0.702715705
39434_at,0.702470947
33484_at,0.702113195
38923_at,0.701952055
37986_at,0.701781738
40946_at,0.70092912
39800_s_at,0.699946156
38726_at,0.699697949
32687_s_at,0.699332051
35294_at,0.698129504
40285_at,0.697968532
40796_at,0.697465941
38678_at,0.697070597
36687_at,0.696941893
38974_at,0.696888345
34286_at,0.696712906
40232_at,0.696681872
40840_at,0.696187865
38121_at,0.696088333
38337_at,0.695894399
35177_at,0.69586607
34034_at,0.695829583
37119_at,0.695045102
32736_at,0.69447236
33494_at,0.694063101
39428_at,0.693902625
40842_at,0.692421628
37187_at,0.692101043
32858_at,0.691175969
1872_at,0.690804178
36002_at,0.690737414
35481_at,0.690729794
36928_at,0.690672327
40308_at,0.690412523
40112_at,0.690372197
38723_at,0.689272746
40825_at,0.688655567
32285_g_at,0.688515053
34880_at,0.68841259
38949_at,0.688395838
35270_at,0.688035258
41338_at,0.687600144
34594_at,0.687532149
40888_f_at,0.687044159
31421_at,0.686525952
33430_at,0.686525793
35349_at,0.686329182
1449_at,0.685745825
39581_at,0.685136402
39796_at,0.684495551
37269_at,0.684474963
40822_at,0.683885119
39218_at,0.683131156
38838_at,0.682551079
36517_at,0.682448705
1904_at,0.681785082
32578_at,0.681373407
38732_at,0.680779644
38987_at,0.679601493
39464_at,0.679487851
38326_at,0.679230405
41228_r_at,0.67878669
1119_at,0.678754057
41316_s_at,0.678646081
